Year,Number of institutions reporting,Total interest income,  Domestic office loans,  Lease financing receivables,  Balances due from depository institutions,  Securities,  Trading accounts,  Federal funds sold,Total interest expense,  Domestic office deposits,  Federal funds purchased,  Trading liabilities and other borrowed money,Net interest income,Total noninterest income,  Service charges on deposit accounts,  Trading account gains and fees,Total noninterest expense,  Salaries and employee benefits,  Premises and equipment expense,  Other noninterest expense,    Amortization expense and goodwill impairment losses,Securities gains (losses),Income (loss) before income taxes and extraordinary items,Applicable income taxes,"Extraordinary gains (losses), net",Net income (loss) attributable to bank,Cash dividends,Retained earnings,Net operating income,Number of unprofitable institutions,Number of institutions with year-over-year earnings gains
1984Q1,"17,885 ","79,981 ","49,812 ",512 ,"4,052 ","14,829 ",420 ,"2,447 ","59,105 ","41,583 ","4,531 ","4,442 ","20,876 ","8,303 ","1,561 ",389 ,"21,617 ","10,673 ","3,619 ","7,325 ",198 ,505 ,"5,924 ","1,418 ",32 ,"4,539 ","1,720 ","2,818 ","4,061 ","3,000 ","6,459 "
1984Q2,"17,889 ","91,850 ","57,935 ",528 ,"4,298 ","17,426 ",497 ,"2,914 ","62,712 ","48,795 ","5,091 ","5,046 ","23,568 ","9,264 ","1,698 ",224 ,"23,794 ","11,377 ","3,905 ","8,480 ",242 ,363 ,"5,835 ","1,782 ",40 ,"4,091 ","2,093 ","1,998 ","3,721 ","2,401 ","7,878 "
1984Q3,"17,898 ","90,526 ","57,521 ",550 ,"4,443 ","15,708 ",664 ,"2,926 ","68,079 ","46,977 ","5,356 ","5,822 ","22,446 ","9,101 ","1,648 ",370 ,"22,846 ","10,954 ","3,807 ","8,085 ",232 ,457 ,"5,791 ","1,311 ",80 ,"4,560 ","1,630 ","2,929 ","4,083 ","3,079 ","8,529 "
1984Q4,"17,901 ","103,800 ","66,719 ",581 ,"4,150 ","19,771 ",818 ,"2,948 ","68,129 ","59,070 ","4,928 ","5,964 ","24,498 ","11,809 ","1,970 ",539 ,"27,957 ","12,452 ","4,449 ","11,010 ",280 ,"1,109 ","4,571 ","1,205 ",92 ,"3,458 ","2,673 ",785 ,"2,488 ","5,062 ","7,764 "
1985Q1,"17,921 ","90,866 ","58,934 ",569 ,"3,708 ","16,751 ",808 ,"2,356 ","63,252 ","48,073 ","4,268 ","5,379 ","24,868 ","9,466 ","1,806 ",324 ,"25,068 ","11,821 ","4,165 ","9,065 ",267 ,"1,036 ","7,283 ","1,938 ",68 ,"5,413 ","2,104 ","3,309 ","4,474 ","2,741 ","8,443 "
1985Q2,"17,936 ","91,953 ","60,108 ",573 ,"3,676 ","16,771 ",775 ,"2,374 ","62,555 ","47,402 ","4,035 ","5,540 ","26,657 ","10,494 ","1,881 ",530 ,"27,015 ","12,159 ","4,294 ","10,546 ",284 ,"2,245 ","8,014 ","2,136 ",181 ,"6,058 ","2,077 ","3,981 ","4,058 ","2,535 ","10,512 "
1985Q3,"18,008 ","92,145 ","60,972 ",567 ,"3,429 ","16,620 ",830 ,"2,422 ","61,556 ","46,736 ","4,085 ","6,045 ","27,623 ","11,318 ","1,934 ",876 ,"27,416 ","12,432 ","4,418 ","10,540 ",293 ,"1,661 ","8,820 ","2,333 ",38 ,"6,524 ","1,813 ","4,711 ","5,143 ","2,708 ","10,454 "
1985Q4,"18,033 ","93,340 ","61,987 ",640 ,"3,215 ","16,619 ",931 ,"2,751 ","61,451 ","46,130 ","4,510 ","6,035 ","29,037 ","12,014 ","2,028 ",659 ,"30,410 ","13,028 ","4,704 ","12,634 ",343 ,"2,507 ","6,859 ","1,884 ",38 ,"5,012 ","3,030 ","1,982 ","3,015 ","5,260 ","9,587 "
1986Q1,"18,083 ","92,869 ","61,506 ",641 ,"3,164 ","16,932 ",964 ,"2,682 ","63,989 ","45,653 ","4,462 ","6,321 ","28,881 ","11,374 ","1,957 ",903 ,"29,228 ","13,164 ","4,717 ","11,310 ",323 ,"3,439 ","9,746 ","2,699 ",129 ,"7,176 ","2,128 ","5,048 ","4,282 ","2,602 ","10,692 "
1986Q2,"18,017 ","90,466 ","60,766 ",629 ,"2,947 ","16,753 ",786 ,"2,412 ","61,162 ","44,628 ","4,041 ","5,772 ","29,304 ","12,031 ","1,998 ",625 ,"31,435 ","13,363 ","4,743 ","13,293 ",338 ,"2,956 ","7,315 ","2,558 ",84 ,"4,841 ","2,147 ","2,694 ","2,399 ","3,183 ","8,693 "
1986Q3,"18,000 ","88,742 ","59,763 ",630 ,"2,838 ","16,859 ",777 ,"2,174 ","59,244 ","43,341 ","3,816 ","5,772 ","29,498 ","12,614 ","2,070 ",694 ,"31,528 ","13,629 ","4,900 ","12,958 ",344 ,"2,514 ","7,841 ","2,712 ",92 ,"5,220 ","2,132 ","3,089 ","3,099 ","3,582 ","8,065 "
1986Q4,"17,876 ","88,142 ","59,162 ",541 ,"2,724 ","17,217 ",835 ,"2,255 ","57,453 ","41,480 ","3,954 ","5,966 ","30,688 ","13,263 ","2,135 ",636 ,"35,932 ","14,039 ","5,160 ","16,687 ",420 ,"3,028 ","3,903 ","1,640 ",129 ,"2,392 ","3,582 ","(1,190)",(211),"5,575 ","8,875 "
1987Q1,"17,741 ","87,746 ","58,283 ",718 ,"2,788 ","17,274 ","1,086 ","2,243 ","57,036 ","39,907 ","3,930 ","6,706 ","30,710 ","12,245 ","2,123 ",828 ,"30,781 ","14,111 ","5,026 ","11,598 ",345 ,"2,373 ","9,063 ","3,276 ",123 ,"5,910 ","2,481 ","3,429 ","4,000 ","2,783 ","8,239 "
1987Q2,"17,605 ","90,333 ","59,677 ",789 ,"2,997 ","17,754 ","1,031 ","2,231 ","58,778 ","40,080 ","3,948 ","7,654 ","31,555 ","13,110 ","2,177 ",671 ,"32,653 ","14,238 ","5,099 ","13,268 ",361 ,"1,010 ","(10,772)","1,185 ",49 ,"(11,908)","2,566 ","(14,474)","(12,851)","3,529 ","8,320 "
1987Q3,"17,504 ","92,465 ","61,440 ",705 ,"3,031 ","18,326 ",910 ,"2,413 ","60,782 ","41,612 ","4,277 ","7,801 ","31,683 ","13,175 ","2,284 ",589 ,"32,153 ","14,419 ","5,199 ","12,481 ",358 ,664 ,"7,086 ","2,907 ",78 ,"4,256 ","2,682 ","1,574 ","3,644 ","3,202 ","9,018 "
1987Q4,"17,325 ","96,473 ","63,733 ",778 ,"3,510 ","19,054 ",946 ,"2,486 ","64,324 ","43,555 ","4,350 ","8,792 ","32,149 ","14,759 ","2,334 ","1,464 ","34,546 ","14,828 ","5,380 ","14,291 ",418 ,137 ,360 ,"1,974 ",30 ,"(1,584)","4,269 ","(5,853)","(1,650)","5,000 ","8,853 "
1988Q1,"17,142 ","95,950 ","63,256 ",808 ,"3,266 ","19,243 ","1,089 ","2,473 ","64,641 ","44,342 ","4,362 ","8,712 ","31,310 ","13,185 ","2,348 ","1,146 ","32,739 ","14,701 ","5,331 ","12,665 ",483 ,"1,107 ","4,439 ","3,126 ",147 ,"1,460 ","3,505 ","(2,045)",454 ,"2,763 ","8,159 "
1988Q2,"16,993 ","98,024 ","64,775 ",838 ,"3,125 ","19,499 ","1,221 ","2,558 ","65,825 ","44,835 ","4,627 ","8,974 ","32,199 ","13,751 ","2,430 ",965 ,"33,056 ","14,706 ","5,326 ","12,981 ",515 ,527 ,"4,577 ","3,227 ",316 ,"1,666 ","3,172 ","(1,506)",963 ,"2,775 ","9,381 "
1988Q3,"16,758 ","102,645 ","68,039 ",892 ,"3,556 ","19,757 ","1,351 ","2,828 ","69,496 ","46,309 ","5,155 ","9,812 ","33,149 ","14,018 ","2,472 ",815 ,"33,092 ","14,817 ","5,401 ","12,821 ",496 ,508 ,"7,664 ","3,392 ",166 ,"4,438 ","3,145 ","1,293 ","3,905 ","2,648 ","9,584 "
1988Q4,"16,561 ","109,617 ","71,322 ",959 ,"4,009 ","20,004 ","1,282 ","3,078 ","73,424 ","49,084 ","5,569 ","10,726 ","36,193 ","14,130 ","2,487 ",765 ,"35,222 ","15,171 ","5,595 ","14,403 ",555 ,253 ,"5,557 ","3,223 ",232 ,"2,566 ","4,833 ","(2,267)","2,196 ","3,881 ","9,502 "
1989Q1,"16,258 ","110,197 ","73,178 ",882 ,"3,654 ","20,736 ",963 ,"3,456 ","75,578 ","49,613 ","6,162 ","11,468 ","34,620 ","14,364 ","2,478 ",712 ,"33,220 ","15,152 ","5,427 ","12,640 ",465 ,542 ,"11,323 ","3,683 ",23 ,"7,662 ","3,546 ","4,117 ","7,238 ","1,856 ","9,814 "
1989Q2,"16,142 ","115,294 ","76,550 ",911 ,"4,233 ","21,226 ","1,008 ","3,378 ","81,261 ","52,881 ","6,609 ","12,413 ","34,033 ","15,724 ","2,570 ","1,474 ","34,556 ","15,236 ","5,449 ","13,871 ",529 ,510 ,"9,291 ","3,353 ",162 ,"6,099 ","3,971 ","2,129 ","5,568 ","2,208 ","9,188 "
1989Q3,"15,971 ","115,421 ","76,782 ","1,068 ","3,907 ","21,110 ","1,181 ","3,274 ","82,003 ","53,866 ","6,433 ","12,546 ","33,418 ","15,248 ","2,647 ",818 ,"35,379 ","15,348 ","5,577 ","14,453 ","1,607 ",611 ,"(1,494)","2,296 ",142 ,"(3,648)","3,742 ","(7,390)","(4,233)","2,336 ","8,009 "
1989Q4,"15,797 ","117,426 ","77,512 ","1,248 ","3,846 ","20,682 ","1,298 ","3,607 ","82,445 ","53,926 ","6,729 ","11,971 ","34,980 ","17,966 ","2,865 ","1,051 ","38,024 ","15,633 ","5,808 ","16,584 ","1,212 ",441 ,(943),"1,389 ",21 ,"(2,311)","4,487 ","(6,798)","(2,649)","3,739 ","7,702 "
1990Q1,"15,587 ","112,387 ","73,781 ","1,280 ","3,744 ","19,778 ","1,402 ","3,149 ","77,501 ","50,510 ","6,036 ","11,491 ","34,886 ","15,525 ","2,796 ",836 ,"35,134 ","15,738 ","5,556 ","13,840 ",815 ,238 ,"8,067 ","2,938 ",468 ,"5,589 ","3,529 ","2,060 ","4,951 ","2,027 ","6,960 "
1990Q2,"15,436 ","109,285 ","73,716 ","1,023 ","3,295 ","19,930 ","1,290 ","3,218 ","74,072 ","50,416 ","5,905 ","8,764 ","35,213 ","16,019 ","2,873 ","1,361 ","35,658 ","15,616 ","5,564 ","14,479 ",578 ,180 ,"7,239 ","2,588 ",1 ,"4,647 ","3,744 ",903 ,"4,535 ","2,101 ","7,871 "
1990Q3,"15,279 ","110,249 ","74,148 ","1,019 ","3,019 ","19,998 ","1,444 ","3,424 ","74,639 ","51,034 ","5,973 ","8,400 ","35,610 ","15,726 ","2,948 ","1,344 ","36,178 ","15,657 ","5,689 ","14,832 ",568 ,263 ,"4,236 ","2,334 ",91 ,"1,996 ","3,280 ","(1,284)","1,701 ","2,196 ","8,481 "
1990Q4,"15,159 ","109,627 ","73,392 ","1,171 ","2,838 ","20,047 ","1,404 ","3,289 ","73,623 ","50,803 ","5,507 ","8,403 ","36,004 ","16,110 ","3,100 ","1,294 ","39,101 ","16,009 ","5,882 ","17,209 ",911 ,500 ,"(1,325)","1,164 ",224 ,"(2,264)","4,624 ","(6,888)","(2,897)","3,726 ","7,878 "
1991Q1,"15,000 ","102,933 ","69,295 ","1,049 ","2,497 ","19,735 ","1,113 ","2,631 ","66,482 ","47,512 ","4,304 ","6,943 ","36,452 ","16,658 ","3,125 ","1,790 ","36,697 ","15,966 ","5,668 ","15,064 ",669 ,929 ,"8,701 ","3,113 ",352 ,"5,940 ","4,478 ","1,462 ","4,882 ","1,799 ","8,080 "
1991Q2,"14,839 ","98,511 ","66,973 ",980 ,"2,206 ","19,230 ","1,101 ","2,338 ","61,132 ","44,809 ","3,788 ","5,770 ","37,379 ","16,645 ","3,253 ","1,421 ","37,525 ","15,766 ","5,579 ","16,180 ",661 ,757 ,"7,053 ","2,990 ",312 ,"4,375 ","3,478 ",897 ,"3,495 ","1,967 ","8,221 "
1991Q3,"14,680 ","96,702 ","65,095 ","1,034 ","2,237 ","19,013 ","1,229 ","2,379 ","58,486 ","42,769 ","3,573 ","5,569 ","38,216 ","16,958 ","3,345 ","1,545 ","38,821 ","16,113 ","5,651 ","17,058 ",804 ,"1,130 ","6,668 ","2,810 ",218 ,"4,076 ","3,008 ","1,068 ","2,952 ","1,845 ","8,775 "
1991Q4,"14,483 ","94,456 ","62,380 ","1,081 ","2,381 ","18,978 ","1,312 ","2,104 ","55,532 ","39,951 ","3,148 ","5,620 ","38,924 ","18,168 ","3,468 ","1,210 ","41,274 ","15,974 ","5,761 ","19,539 ",698 ,"2,316 ","5,484 ","2,209 ",(49),"3,226 ","5,191 ","(1,965)","1,440 ","2,628 ","8,820 "
1992Q1,"14,335 ","88,766 ","58,378 ","1,018 ","2,107 ","18,138 ","1,363 ","1,839 ","48,309 ","34,289 ","2,673 ","5,030 ","40,457 ","17,729 ","3,512 ","1,502 ","38,249 ","16,132 ","5,588 ","16,530 ",659 ,"1,762 ","13,150 ","4,214 ",312 ,"9,248 ","3,226 ","6,022 ","7,640 ","1,059 ","10,581 "
1992Q2,"14,177 ","85,740 ","56,210 ",970 ,"1,863 ","18,042 ","1,325 ","1,659 ","44,432 ","31,124 ","2,528 ","4,954 ","41,308 ","18,486 ","3,518 ","1,351 ","39,490 ","16,250 ","5,525 ","17,716 ",852 ,"1,231 ","13,885 ","4,629 ",94 ,"9,350 ","3,518 ","5,832 ","8,323 ","1,010 ","10,351 "
1992Q3,"14,035 ","83,456 ","54,181 ",993 ,"1,798 ","17,836 ","1,351 ","1,335 ","41,141 ","28,245 ","2,139 ","4,672 ","42,315 ","18,675 ","3,690 ","1,945 ","39,978 ","16,364 ","5,608 ","18,006 ",913 ,"2,125 ","14,941 ","4,971 ",87 ,"10,056 ","3,413 ","6,644 ","8,388 ",958 ,"10,303 "
1992Q4,"13,854 ","81,390 ","52,627 ",934 ,"1,800 ","17,307 ","1,512 ","1,276 ","38,054 ","25,396 ","2,189 ","4,903 ","43,335 ","18,652 ","3,779 ","1,500 ","42,035 ","16,723 ","5,887 ","19,425 ",924 ,"1,451 ","13,461 ","4,432 ",233 ,"9,262 ","6,311 ","2,951 ","7,921 ","1,765 ","9,100 "
1993Q1,"13,684 ","78,896 ","50,816 ",877 ,"1,547 ","16,860 ","1,559 ","1,214 ","36,072 ","23,542 ","2,071 ","4,944 ","42,824 ","19,356 ","3,699 ","2,060 ","41,330 ","16,791 ","5,555 ","18,984 ","1,011 ","1,470 ","16,640 ","5,543 ","2,102 ","13,199 ","4,949 ","8,250 ","10,040 ",695 ,"9,030 "
1993Q2,"13,515 ","78,264 ","50,715 ",876 ,"1,648 ","16,586 ","1,529 ","1,204 ","35,132 ","22,510 ","2,109 ","5,019 ","43,132 ","22,444 ","3,847 ","2,292 ","43,281 ","17,003 ","5,568 ","20,710 ",851 ,"1,268 ","17,890 ","5,952 ",146 ,"12,084 ","4,943 ","7,140 ","11,026 ",721 ,"8,399 "
1993Q3,"13,380 ","79,094 ","50,936 ",858 ,"1,655 ","16,175 ","1,954 ","1,265 ","35,754 ","22,019 ","2,228 ","5,742 ","43,340 ","20,763 ","3,912 ","2,357 ","41,290 ","17,337 ","5,666 ","18,287 ","1,041 ","1,492 ","19,293 ","6,373 ",(230),"12,689 ","5,704 ","6,985 ","11,843 ",660 ,"7,514 "
1993Q4,"13,222 ","79,592 ","51,038 ",834 ,"1,434 ","16,095 ","1,953 ","1,274 ","35,730 ","21,298 ","2,314 ","5,844 ","43,863 ","22,017 ","3,983 ","2,557 ","43,366 ","17,936 ","6,080 ","19,350 ",987 ,835 ,"18,281 ","6,052 ",162 ,"12,391 ","8,940 ","3,451 ","11,601 ","1,363 ","7,325 "
1994Q1,"13,081 ","76,587 ","49,719 ",804 ,"1,259 ","15,358 ","2,238 ","1,258 ","33,517 ","20,127 ","2,343 ","5,753 ","43,069 ","19,769 ","3,830 ","1,495 ","40,738 ","17,418 ","5,716 ","17,604 ",792 ,860 ,"19,481 ","6,932 ",(198),"12,350 ","5,762 ","6,588 ","11,951 ",587 ,"5,799 "
1994Q2,"12,935 ","80,386 ","51,463 ",814 ,"1,322 ","16,415 ","1,895 ","1,442 ","36,032 ","20,610 ","2,963 ","6,580 ","44,354 ","20,195 ","3,924 ","1,540 ","41,677 ","17,546 ","5,661 ","18,470 ",919 ,177 ,"19,494 ","6,519 ",(9),"12,966 ","6,421 ","6,545 ","12,845 ",619 ,"6,537 "
1994Q3,"12,776 ","81,694 ","54,287 ",744 ,"1,224 ","16,901 ","1,776 ","1,720 ","36,377 ","21,956 ","3,524 ","5,365 ","45,317 ","21,450 ","4,025 ","1,857 ","42,058 ","17,932 ","5,793 ","18,333 ",944 ,(307),"21,349 ","7,365 ",(262),"13,722 ","7,384 ","6,338 ","14,209 ",590 ,"6,954 "
1994Q4,"12,605 ","85,919 ","57,131 ",826 ,"1,437 ","17,247 ","1,942 ","2,158 ","40,530 ","23,583 ","4,154 ","6,396 ","45,389 ","21,673 ","3,984 ","1,328 ","44,604 ","18,206 ","5,947 ","20,451 ","1,074 ","(1,107)","17,753 ","5,504 ",24 ,"12,272 ","11,286 ",986 ,"12,979 ","1,238 ","6,927 "
1995Q1,"12,362 ","90,064 ","60,171 ",854 ,"1,583 ","17,583 ","2,014 ","2,327 ","45,040 ","25,649 ","4,646 ","7,428 ","45,023 ","20,710 ","3,987 ","1,020 ","42,722 ","18,126 ","5,826 ","18,771 ",945 ,(89),"19,715 ","6,888 ",39 ,"12,866 ","7,087 ","5,779 ","12,897 ",478 ,"7,091 "
1995Q2,"12,253 ","93,907 ","63,173 ",904 ,"1,617 ","17,795 ","2,068 ","2,519 ","48,265 ","28,178 ","4,896 ","7,726 ","45,642 ","21,860 ","4,095 ","1,692 ","43,052 ","18,166 ","5,880 ","19,005 ",983 ,502 ,"21,514 ","7,585 ",(12),"13,917 ","7,604 ","6,314 ","13,598 ",487 ,"6,634 "
1995Q3,"12,114 ","96,350 ","65,263 ",961 ,"1,538 ","18,009 ","2,135 ","2,526 ","49,644 ","29,370 ","4,907 ","8,009 ","46,706 ","24,099 ","4,215 ","1,956 ","42,467 ","18,597 ","6,078 ","17,792 ","1,202 ",333 ,"24,915 ","8,616 ",(242),"16,058 ","7,804 ","8,254 ","16,068 ",450 ,"7,750 "
1995Q4,"11,972 ","97,188 ","65,883 ","1,042 ","1,512 ","17,933 ","2,109 ","2,641 ","50,013 ","29,514 ","4,873 ","8,194 ","47,175 ","23,421 ","4,258 ","1,569 ","45,046 ","18,833 ","6,069 ","20,144 ","1,242 ",188 ,"21,205 ","7,345 ",(80),"13,780 ","12,756 ","1,024 ","13,765 ",995 ,"7,221 "
1996Q1,"11,845 ","95,956 ","64,990 ","1,103 ","1,374 ","17,492 ","2,177 ","2,584 ","48,452 ","28,757 ","4,490 ","7,951 ","47,504 ","24,105 ","4,242 ","1,981 ","46,117 ","19,215 ","6,108 ","20,794 ","1,216 ",832 ,"22,172 ","7,672 ",71 ,"14,571 ","8,789 ","5,782 ","13,939 ",437 ,"7,783 "
1996Q2,"11,672 ","95,633 ","65,028 ","1,193 ","1,366 ","17,574 ","1,856 ","2,363 ","47,411 ","28,277 ","4,365 ","7,809 ","48,222 ","26,140 ","4,365 ","1,924 ","45,021 ","19,314 ","6,153 ","19,553 ","1,502 ",261 ,"24,770 ","8,377 ",21 ,"16,414 ","9,539 ","6,875 ","16,158 ",487 ,"7,967 "
1996Q3,"11,550 ","97,626 ","66,891 ","1,246 ","1,324 ","17,486 ","2,147 ","2,200 ","48,359 ","28,882 ","4,315 ","8,144 ","49,268 ","24,796 ","4,483 ","1,748 ","49,335 ","19,409 ","6,292 ","23,634 ","1,457 ",333 ,"20,421 ","7,052 ",(250),"13,120 ","12,394 ",726 ,"13,138 ","1,697 ","5,856 "
1996Q4,"11,454 ","99,496 ","67,884 ","1,431 ","1,396 ","17,329 ","2,386 ","2,362 ","49,548 ","29,372 ","4,415 ","8,597 ","49,947 ","26,717 ","4,494 ","1,871 ","47,662 ","19,931 ","6,496 ","21,240 ","1,507 ",654 ,"24,202 ","8,386 ",(0),"15,816 ","14,677 ","1,139 ","15,372 ","1,034 ","6,948 "
1997Q1,"11,338 ","99,414 ","67,893 ","1,538 ","1,357 ","17,252 ","2,369 ","3,442 ","49,313 ","29,141 ","5,185 ","7,816 ","50,100 ","26,426 ","4,499 ","2,385 ","46,016 ","20,173 ","6,360 ","19,482 ","1,309 ",661 ,"26,260 ","9,373 ",7 ,"16,895 ","9,759 ","7,136 ","16,441 ",455 ,"7,187 "
1997Q2,"11,161 ","102,610 ","70,279 ","1,650 ","1,481 ","17,752 ","2,502 ","3,232 ","51,284 ","30,050 ","5,109 ","8,563 ","51,326 ","27,121 ","4,700 ","1,961 ","47,025 ","20,236 ","6,379 ","20,410 ","1,384 ",594 ,"26,336 ","9,317 ",28 ,"17,047 ","10,554 ","6,493 ","16,610 ",462 ,"7,357 "
1997Q3,"11,028 ","105,030 ","72,200 ","1,836 ","1,615 ","17,621 ","2,497 ","3,367 ","52,973 ","31,183 ","5,258 ","8,735 ","52,057 ","29,229 ","4,840 ","2,491 ","49,799 ","21,166 ","6,769 ","21,863 ","1,430 ",416 ,"26,226 ","9,460 ",7 ,"16,773 ","9,783 ","6,989 ","16,470 ",492 ,"7,654 "
1997Q4,"10,923 ","107,301 ","72,705 ","1,985 ","1,994 ","17,942 ","2,692 ","3,821 ","54,957 ","31,641 ","5,802 ","9,249 ","52,344 ","29,197 ","5,028 ","1,197 ","50,395 ","21,097 ","6,746 ","22,552 ","1,524 ","1,426 ","26,352 ","8,806 ",3 ,"17,549 ","17,764 ",(215),"16,574 ","1,094 ","6,452 "
1998Q1,"10,780 ","107,045 ","71,897 ","2,068 ","1,910 ","18,225 ","2,651 ","3,938 ","55,017 ","31,224 ","5,924 ","9,298 ","52,028 ","30,982 ","4,826 ","2,651 ","51,525 ","21,864 ","6,743 ","22,917 ","1,606 ","1,441 ","27,609 ","9,625 ",530 ,"18,514 ","10,437 ","8,076 ","16,993 ",496 ,"6,723 "
1998Q2,"10,713 ","108,576 ","73,715 ","2,097 ","1,386 ","18,345 ","2,751 ","3,665 ","55,382 ","31,304 ","5,628 ","9,982 ","53,194 ","32,589 ","5,050 ","2,491 ","52,385 ","22,177 ","6,885 ","23,322 ","1,717 ","1,232 ","29,012 ","10,085 ",(11),"18,916 ","10,550 ","8,365 ","18,091 ",546 ,"6,218 "
1998Q3,"10,624 ","110,755 ","74,516 ","2,246 ","1,684 ","18,474 ","2,943 ","3,965 ","56,920 ","31,458 ","5,926 ","10,266 ","53,835 ","32,747 ","5,181 ",559 ,"53,348 ","22,068 ","7,090 ","24,189 ","1,961 ","1,331 ","27,478 ","9,422 ",(26),"18,030 ","12,412 ","5,618 ","17,198 ",643 ,"5,910 "
1998Q4,"10,464 ","109,892 ","74,181 ","2,130 ","1,701 ","19,229 ","1,794 ","3,788 ","55,410 ","31,254 ","5,744 ","9,721 ","54,482 ","37,373 ","5,321 ","1,973 ","61,964 ","24,403 ","7,921 ","29,641 ","2,625 ","1,615 ","25,262 ","8,336 ",(76),"16,850 ","14,398 ","2,453 ","15,792 ","1,243 ","5,641 "
1999Q1,"10,391 ","108,687 ","73,023 ","2,594 ","1,610 ","19,453 ","1,930 ","3,458 ","53,469 ","29,558 ","5,399 ","10,188 ","55,218 ","37,070 ","5,192 ","3,601 ","55,743 ","24,023 ","7,485 ","24,235 ","1,859 ","1,164 ","31,880 ","11,198 ",(37),"20,645 ","10,426 ","10,219 ","19,894 ",630 ,"5,318 "
1999Q2,"10,328 ","108,718 ","72,745 ","2,635 ","1,627 ","20,355 ","1,839 ","3,333 ","52,871 ","29,312 ","5,393 ","10,248 ","55,846 ","36,973 ","5,517 ","2,148 ","56,920 ","24,482 ","7,328 ","25,110 ","1,907 ",587 ,"31,121 ","11,346 ",0 ,"19,775 ","14,986 ","4,789 ","19,419 ",707 ,"5,739 "
1999Q3,"10,271 ","111,803 ","77,469 ","2,194 ","1,314 ","20,732 ","1,570 ","2,811 ","54,791 ","30,052 ","5,495 ","11,386 ","57,012 ","39,466 ","5,680 ","2,183 ","56,077 ","23,972 ","7,490 ","24,615 ","1,743 ",78 ,"34,747 ","12,532 ",(1),"22,214 ","14,602 ","7,612 ","22,185 ",728 ,"6,231 "
1999Q4,"10,222 ","116,538 ","80,594 ","2,325 ","1,584 ","21,036 ","1,762 ","3,129 ","59,552 ","31,393 ","6,082 ","13,537 ","56,987 ","41,926 ","5,796 ","2,469 ","61,325 ","24,751 ","8,070 ","28,505 ","1,997 ",(135),"30,909 ","10,741 ",211 ,"20,379 ","18,464 ","1,915 ","20,248 ","1,202 ","6,102 "
2000Q1,"10,152 ","120,418 ","83,498 ","2,389 ","1,495 ","21,862 ","2,020 ","3,254 ","62,290 ","32,846 ","6,529 ","13,440 ","58,128 ","41,187 ","5,705 ","3,832 ","58,211 ","25,314 ","7,775 ","25,121 ","1,898 ",(560),"34,276 ","11,869 ",23 ,"22,430 ","13,011 ","9,419 ","22,770 ",693 ,"6,710 "
2000Q2,"10,102 ","126,573 ","87,999 ","2,733 ","1,693 ","22,234 ","2,331 ","3,528 ","67,558 ","35,133 ","7,199 ","14,676 ","59,015 ","38,582 ","5,996 ","2,951 ","61,597 ","24,738 ","7,708 ","29,152 ","2,141 ",(885),"27,358 ","10,035 ",(2),"17,321 ","12,976 ","4,345 ","18,080 ",732 ,"6,648 "
